Start Day,Day,Micro. #,Infect.,Pollen,# of bees,Hours Feeding,Nectar consumed,Nectar per bee,Nectar per bee per hour,Pollen consumed,Pollen corrected for evp.,Pollen per bee,Pollen per bee per hour,Corrected pollen per bee per hour
5/19/2015,59,8,U,B,3,23.94791667,3.2248,1.074933333,0.044886298,0.0536,0.023366667,0.007788889,0.000325243,0.000325243
5/19/2015,1,9,I,S,5,.,2.8607,0.57214,.,0.1077,0.091413333,0.018282667,.,.
5/19/2015,2,9,I,S,5,23.89236111,2.9722,0.59444,0.024879919,0.1333,0.117013333,0.023402667,0.000979504,0.000979504
5/19/2015,3,9,I,S,5,24.01180556,3.2794,0.65588,0.027314897,0.1617,0.145413333,0.029082667,0.001211182,0.001211182
5/19/2015,7,9,I,S,5,.,3.5287,0.70574,.,0.0867,0.070413333,0.014082667,.,.
5/19/2015,8,9,I,S,5,24.35763889,3.3369,0.66738,0.027399207,0.0583,0.042013333,0.008402667,0.00034497,0.00034497
5/19/2015,9,9,I,S,5,23.98402778,3.6866,0.73732,0.030742126,0.0574,0.041113333,0.008222667,0.000342839,0.000342839
5/19/2015,10,9,I,S,5,23.55555556,3.7778,0.75556,0.03207566,.,.,.,.,.
5/19/2015,14,9,I,S,4,.,3.3497,0.837425,.,.,.,.,.,.
5/19/2015,15,9,I,S,4,24.35833333,3.8584,0.9646,0.039600411,0.0962,0.079913333,0.019978333,0.000820185,0.000820185
5/19/2015,16,9,I,S,4,24.05486111,3.5693,0.892325,0.037095413,0.0963,0.080013333,0.020003333,0.000831571,0.000831571
5/19/2015,17,9,I,S,4,23.94444444,3.5828,0.8957,0.037407425,0.1064,0.090113333,0.022528333,0.000940858,0.000940858
5/19/2015,22,9,I,S,4,.,3.659,0.91475,.,0.1035,0.087213333,0.021803333,.,.
5/19/2015,23,9,I,S,4,23.99652778,3.925,0.98125,0.040891333,0.1113,0.095013333,0.023753333,0.000989865,0.000989865
5/19/2015,24,9,I,S,4,23.58402778,3.1576,0.7894,0.033471806,0.1052,0.088913333,0.022228333,0.000942516,0.000942516
5/19/2015,28,9,I,S,4,.,3.6663,0.916575,.,0.2105,0.194213333,0.048553333,.,.
